w,c,zh,en,us,core,ex,exz
category,'kætɪg(ə)rɪ,n. 种类，类目,n. a group of people or things that are all of the same type,'kætəɡɔri,"【短语】product category (产品类别；产品目录；积范畴), first category (第一纲), category theory (范畴论)",people in the over-45 age category,属45岁以上年龄组的人
captive,'kæptɪv,n&a. 俘虏，迷恋者；被俘虏的，被拴住的,"n&a. someone who is kept as a prisoner, especially in a war",'kæptɪv,【记忆】capt(抓住) + ive → 被抓住的， 被捕获的 | 【短语】captive audience (受制而走不开的听众或观众),He described the difficulties of surviving for four months as a captive.,他讲述了沦为阶下囚的4个月中生存的种种不易。
panic,'pænɪk,n. 恐慌，惊慌；v. 受惊，惊慌,"n. a sudden strong feeling of fear or nervousness that makes you unable to think clearly or behave sensibly；v. to suddenly feel so frightened that you cannot think clearly or behave sensibly, or to make someone do this",'pænɪk,"【短语】no panic ([美国俚语]不大高明；平凡), panic disorder (惊恐性障碍，恐慌症), in panic (惊慌的)",a feeling of sheer panic,惊恐万分的感觉
intact,ɪn'tækt,adj. 未受损的，完整的,"adj. not broken, damaged, or spoiled",ɪn'tækt,"【记忆】in(不) + tact(接触) → 未经触动的 → 完整无缺的 | 【短语】intact rock (完整岩石), keep intact (保持原貌（样）)",Only the medieval tower had remained intact.,只有这座中世纪塔楼保存完好。
entry,ˈɒntreɪ,n. 进入，入口；条目，词条,n. the act of going into something,'ɛntri,"【短语】entry into (进入，加入), data entry ([计]数据输入；资料登录), entry point ([计]入口点；入职薪点；入水点)",There was no sign of a forced entry.,没有强行闯入的迹象。
inspiring,ɪn'spaɪərɪŋ,adj. 令人振奋的,,ɪn'spaɪərɪŋ,【记忆】in(使…) + spir(呼吸) + ing → 使呼吸的 → 鼓舞人心的,inspiring music,激励人心的音乐
tedious,'tiːdɪəs,adj. 乏味的，沉闷的,adj. something that is tedious continues for a long time and is not interesting,'tidɪəs,,The work was tiring and tedious.,这工作既累人又枯燥。
cannon,'kænən,n. 大炮；v. 开炮,n. a large heavy powerful gun that was used in the past to fire heavy metal balls,'kænən,"【记忆】“加农” | 【短语】water cannon (防暴水枪；高压水炮), cannon fodder (n. 炮灰), loose cannon (我行我素不顾后果的人)","The cannons boom, the band plays.",炮声隆隆，鼓乐齐鸣。
stereo,'sterɪəʊ; 'stɪərɪəʊ,n. 立体声录音机,"n. a machine for playing records,  cds  etc that produces sound from two  speakers",'stɛrɪo,"【记忆】本身为词根， 意为“三维的， 立体的” | 【短语】stereo system (n. 立体音响系统), stereo display (立体显示), stereo type (定型)",a stereo with good speakers,扬声器音质好的立体声音响
feedback,'fiːdbæk,n. 反应，用户反应,"n. If you get feedback on your work or progress, someone tells you how well or badly you are doing, and how you could improve. If you get good feedback you have worked or performed well.",'fidbæk,"【记忆】feed(喂养； 提供) + back(反) → 反馈 | 【短语】feedback control ([计]反馈控制；回馈控制), negative feedback (负反馈；负回授), information feedback (信息反馈)",Continue to ask for feedback on your work.,继续征求对你工作的反馈。
lament,lə'ment,v. 悲痛，哀悼；n. 挽歌，挽诗,"v. to express feelings of great sadness about something；n. a song, piece of music, or something that you say, that expresses a feeling of sadness",lə'mɛnt,【短语】lament over (哀悼；为……而悲痛),The nation lamented the death of its great war leader.,举国上下都在哀悼他们伟大的战时领袖。
paradise,'pærədaɪs,n. 天国；乐园,n. a place that has everything you need for doing a particular activity,'pærə'daɪs,"【短语】paradise lost (失乐园), a paradise on earth (人间天堂), fool's paradise (幻想；虚幻的乐境)",The market is a shopper’s paradise.,这个市场是购物者的乐园。
fountain,ˈfaʊntən,n. 泉水，喷泉；源泉,"n. a structure from which water is pushed up into the air, used for example as decoration in a garden or park",'faʊntn,"【记忆】大山(mountain)里有喷泉(fountain) | 【短语】fountain pen (n. 钢笔), water fountain (饮水器；供应饮用水之处), fountain of youth (青春之泉)",He was a fountain of information on Asian affairs.,他是亚洲事务的信息源。
acquisition,",ækwɪ'zɪʃ(ə)n",n. 获得，获得物,n. the process by which you gain knowledge or learn a skill,",ækwɪ'zɪʃən","【短语】data acquisition (数据采集), data acquisition system (数据采集系统；资料获取系统), language acquisition (语言习得)",the acquisition of language,语言的习得
revise,rɪ'vaɪz,v. 修订；改正,v. to change something because of new information or ideas,rɪ'vaɪz,【记忆】re(一再) + vis(看) + e → 反复看 → 修订； 复习 | 【短语】revise for (v. 复习功课（迎考）),The college has revised its plans because of local objections.,由于地方上的反对，学院已经修改了计划。
closet,'klɒzɪt,n. 小储藏室,"n. A closet is a very small room for storing things, especially one without windows",'klɑzət,【短语】water closet (厕所；抽水马桶),,
prolific,prə'lɪfɪk,adj. 多产的，丰富的,"adj. a prolific artist, writer etc produces many works of art, books etc",prə'lɪfɪk,,Handel’s prolific output of opera,韩德尔丰富的歌剧作品
audible,'ɔːdɪb(ə)l,adj. 听得见的,adj. a sound that is audible is loud enough for you to hear it,'ɔdəbl,"【短语】audible alarm (声音报警，音响报警), audible sound (n. 可听见的声音)",His voice was barely audible (=  could only just be heard  ) above the roar of the crowd.,人声嘈杂，几乎听不见他的说话声。
advent,,n. 降临，出现,n. the time when something first begins to be widely used,,"【记忆】ad + vent(来) → 到来； 出现 | 【短语】the advent of ((重要人物或事件)…的出现(或到来)), with the advent of (随着…的出现)",the advent of the computer,计算机的问世
get,get,v. 使得，使成为某种状态，开始起来,v. to achieve something,ɡɛt,"【短语】get one's (◎[美国口语]得到应有的惩罚), get something on someone ([口语]抓住某人的把柄), get there (到达那里；取得成功，实现目标)",I got 98% in my last maths test.,上一次数学考试我得了98分。
recline,rɪ'klaɪn,vt&vi. 斜倚，躺,vt&vi. to lie or lean back in a relaxed way,rɪ'klaɪn,,She proceeded to recline on a chaise longue.,她开始斜靠在一个躺椅上。
pier,pɪə,n. 桥墩；码头,n. a structure that is built over and into the water so that boats can stop next to it or people can walk along it,pɪr,"【短语】bridge pier (桥墩), pier foundation (墩式地基，墩基础)",a yacht moored at a pier,停在码头的一艘游艇
menace,'menəs,n&vt. 危险，威胁,n&vt. something or someone that is dangerous,'mɛnəs,【记忆】men(人) ＋ ace(看作race， 赛跑) → 和你赛跑的人对你构成了威胁 → 威胁,the growing menace of oil pollution at sea,日益严重的海洋石油污染
outrageous,aʊt'reɪdʒəs,adj. 残暴的，蛮横的,adj. very shocking and extremely unfair or offensive,aʊt'redʒəs,,outrageous prices,骇人的价格
fossil,'fɒs(ə)l; -sɪl,n. 化石,"n. an animal or plant that lived many thousands of years ago and that has been preserved, or the shape of one of these animals or plants that has been preserved in rock",'fɑsl,"【记忆】“佛说” → 一开口就是“佛说…”， 真是个老顽固 → 老顽固 | 【短语】fossil fuel (矿物燃料，化石燃料), living fossil ([生]活化石；[口]落后于时代的人), trace fossil (生痕化石；踪迹化石)",fossils of early reptiles,早期爬行动物的化石
ethnic,'eθnɪk,adj. 种族的；人种学的,"adj. relating to a particular race, nation, or tribe and their customs and traditions",'ɛθnɪk,"【短语】ethnic group (n. 同种同文化之民族), ethnic minority (少数民族), ethnic chinese (华裔人士)",The school teaches pupils from different ethnic groups.,该校教授不同种族的小学生。
marital,'mærɪt(ə)l,adj. 婚姻的，丈夫的,adj. relating to marriage,'mærɪtl,"【短语】marital status (婚姻状况), marital violence (婚姻暴力；婚后暴力)",marital problems,婚姻问题
wrought,rɔːt,adj. 锤炼的,,rɔt,"【短语】wrought iron (锻铁，熟铁), wrought aluminium (熟铝；锻铝)",,
supposedly,sə'pəʊzɪdlɪ,adv. 想象上，恐怕,,sə'pozɪdli,,,
clockwise,'klɒkwaɪz,adv. 顺时针方向地,adv. in the same direction as the  hands  of a clock move,'klɑk'waɪz,"【记忆】clock(时钟) + wise(方向) → 指针转动的方向 → 顺时针方向的(地) | 【短语】clockwise rotation (顺时针转), clockwise direction (顺时针方向), counter clockwise (逆时针方向)",Screw the lid on clockwise.,按顺时针方向拧紧盖子。
sector,'sektə,n. 战区，防区；(工业等)部门，部分,"n. a part of an area of activity, especially of business, trade etc",'sɛktɚ,"【短语】private sector (私营部门；私营成分), financial sector (财政部门), public sector (国营部门经济；政府资助的企事业；社会经济的公有部份)",...the nation's manufacturing sector.,…该国的制造部门。
chunk,tʃʌŋk,n. 厚块,n. a large thick piece of something that does not have an even shape,tʃʌŋk,【记忆】“常客” → 饭馆的常客占客人总数的很大一部分 → 相当大的部分,ice chunks,大冰块
transplant,træns'plɑːnt; trɑːns-; -nz-,"n&v. 移植，移种；人工移植(心,胃)；迁移 ""","n&v. to move an organ, piece of skin etc from one person’s body and put it into another as a form of medical treatment",træns'plænt,"【记忆】trans(改变) + plant(种植) → 改种到他处 → 移植 | 【短语】organ transplant (器官移植), heart transplant (心脏移植；心脏移植手术), hair transplant (头发移植)",heart transplant surgery,心脏移植手术
radiate,'reɪdɪeɪt,v. 发射，放射,"v. if something radiates light or heat, or if light or heat radiates from something, the light or heat is sent out in all directions",'redɪet,【记忆】radi(光线) + ate(使…) → 发光； 发热 | 【短语】radiate from (从……发出),The log fire radiated a warm cosy glow.,燃烧的原木发出温暖舒适的红光。
millennium,mɪˈlɛnɪəm,n. 一千年，千禧年；太平盛世,"n. a period of 1,000 years",məˈlɛniəm,"【记忆】mill(千) + enn(年) + ium → 一千年 | 【短语】millennium development goals (千年发展目标（millennium development goal的复数）), millennium bug (千年虫；千禧虫), china millennium monument (中华世纪坛)",people who have inhabited this land for millennia,在这片土地上已经居住了数千年的人们
speculate,'spekjʊleɪt,v. 思索，推测，投机,"v. to guess about the possible causes or effects of something, without knowing all the facts or details",'spɛkjə'let,【短语】speculate on (v. 推测；考虑),She refused to speculate.,她拒绝猜测。
inept,ɪ'nept,adj. 不适当的,,i'nept,,,
lamb,læm,n. 小羊；羔羊肉,n. a young sheep,læm,"【短语】lamb of god (上帝的羔羊；基督), lamb wave (蓝姆波), lamb meat (羔羊肉)",roast lamb,烤羊肉
specimen,'spesɪmɪn,n. 标本，样品，样张；试样,"n. a small amount or piece that is taken from something, so that it can be tested or examined",'spɛsəmən,"【短语】test specimen (试样；试棒；试块), specimen signature (签字样本；印鉴样本), specimen preparation (试片制作；样品制备)",a blood specimen,血样
hop,hɒp,v&n. 单足跳，弹跳,v&n. to move by jumping on one foot,hɑp,"【短语】hip hop (n. 嘻哈文化（由快板歌、涂墙艺术、霹雳舞等构成的亚文化）), hop on (责骂), on the hop (到处奔忙；忙碌)",a little girl hopping and skipping,一个蹦蹦跳跳的小女孩
differ,'dɪfə,v. 不相同，意见不一致,v. to be different from something in some way,'dɪfɚ,"【短语】differ from (与…不同；区别于…), differ in (不同在；在…方面存在不同), differ with (与…意见不一；与…不调和)",The two systems differ in many respects.,这两个系统在许多方面不同。
volunteer,",vɒlən'tɪə",vt&n. 自愿参加(者),vt&n. someone who does a job willingly without being paid,",vɑlən'tɪr",【短语】volunteer services (义工服务；志工服务台),Most of the relief work was done by volunteers.,大部分救援工作都由志愿人员完成。
aquarium,ə'kweərɪəm,n. 水族馆；养鱼池,n. a clear glass or plastic container for fish and other water animals,ə'kwɛrɪəm,【记忆】aqu(a)(水) + arium(表场所， 名词后缀) → 水族馆 | 【短语】vancouver aquarium (温哥华水族馆（北美洲三大水族馆之一）),In Amsterdam the girls all stand in the windows shimmering as tantalising as tropical fish beyond the gleam of aquarium glass.,在阿姆斯特丹，姑娘们都站在窗后，光芒四射柔情撩人宛如水族馆玻璃背后脉脉含情的热带鱼。
supposition,",sʌpə'zɪʃ(ə)n",n. 假定，想象，猜测,"n. something that you think is true, even though you are not certain and cannot prove it",",sʌpə'zɪʃən",,His version of events is pure supposition .,他对事情的说法纯属推测。
costume,'kɒstjuːm,n. 服装式样；戏服,"n. a set of clothes worn by an actor or by someone to make them look like something such as an animal, famous person etc",'kɑstum,"【记忆】cost(花费) + u(你) + me(我) → 你我都免不了花钱买服装 → 成套服装 | 【短语】costume jewelry (（用作服饰的）人造珠宝), costume design (最佳服装设计), national costume (民族服装)",the film’s lavish costumes and spectacular sets,影片中奢华的戏装和壮观的场景
fixture,'fɪkstʃə; -tjə,n. 附属装置；运动项目,"n. Fixtures are fittings or furniture which belong to a building and are legally part of it, for example, a bathtub or a toilet",'fɪkstʃɚ,"【短语】test fixture (测试夹具), lighting fixture (照明器材), welding fixture (焊接夹具)",...a detailed list of what fixtures and fittings are included in the purchase price.,…详细列出的室内设施与装备包括在购买价格中。
strive,straɪv,v. 斗争，努力，奋斗,v. to make a great effort to achieve something,straɪv,"【短语】strive for (争取，奋斗), strive to develop (努力发展；大力发展), strive after (奋斗；争取)",He strives hard to keep himself very fit.,他努力使自己保持非常的健康。
seclude,sɪ'kluːd,v. 使隔离；使孤立，使隐退,v. to remove from contact with others,sɪ'klud,【记忆】se(分离) + clud(关闭) + e → 脱离， 过着封闭的生活 → 使隔离， 使孤立,,
heighten,'haɪt(ə)n,v. 加高，提高；增大,"v. if something heightens a feeling, effect etc, or if a feeling etc heightens, it becomes stronger or increases",'haɪtn,【记忆】height(高度， 海拔) + en(使…) → 提高 → (使)增强， (使)加剧,There are fears that the march will heighten racial tension.,有人担心这次游行会加深种族间的紧张局势。
predecessor,'priːdɪsesə,n. 前任,n. someone who had your job before you started doing it,'prɛdəsɛsɚ,【短语】predecessor company (被接管公司),Kennedy’s predecessor as President was the war hero Dwight Eisenhower.,肯尼迪总统的前任是战争英雄德怀特·艾森豪威尔。
aboriginal,æbə'rɪdʒɪn(ə)l,n&a. 土著(的)；土生动植物(的),,",æbə'rɪdʒənl",,He remained fascinated by the Aboriginals' tales.,他一直对澳大利亚土著人的故事很着迷。
chronological,krɒnə'lɒdʒɪk(ə)l,adj. 按时间顺序的,adj. arranged according to when things happened or were made,",krɑnə'lɑdʒɪkl","【短语】chronological order (年月日次序；（事情发生或发展的）时间次序), chronological age (n. [心]实足年龄（用途测定智商的数据）；实龄), chronological record (序时记录)",We arranged the documents in chronological order .,我们把这些文件按时序排列。
assault,ə'sɔːlt; ə'sɒlt,n&vt. 袭击,n&vt. the crime of physically attacking someone,ə'sɔlt,"【记忆】as(向) + saul(跳) + t → 跳向某人 → 攻击， 袭击 | 【短语】sexual assault (性侵犯；性暴行), assault rifle (突击步枪；冲锋枪), assault and battery (人身攻击；暴力殴打)",a case of robbery and assault,一宗抢劫袭击案
sober,'səʊbə,adj. 严肃的，认真的，清醒的,adj. not drunk,'sobɚ,【短语】sober up (清醒起来；使…清醒；使严肃起来),He’s a nice guy when he’s sober.,他没喝醉时是个不错的家伙。
implement,'ɪmplɪm(ə)nt,n. 工具，器具；v. 贯彻，履行,"n. a tool, especially one used for outdoor physical work；v. to take action or make changes that you have officially decided should happen",'ɪmplɪmɛnt,"【记忆】im(里面) + ple(填满) + ment → 把…里面填满 → 实施； 执行 | 【短语】implement plan (执行计划，实施计划), stone implement (石器；石器用具)",,
quiver,'kwɪvə,vt&vi. 颤动，抖动,"vt&vi. to shake slightly because you are cold, or because you feel very afraid, angry, excited etc",'kwɪvɚ,【短语】quiver with (战栗；颤动),The child was quivering in her arms.,那孩子在她怀里发抖。
ostentation,",ɒsten'teɪʃ(ə)n",n. 夸耀，卖弄,"n. when you deliberately try to show people how rich or clever you are, in order to make them admire you",'ɑstɛn'teʃən,,Her lifestyle was remarkably free from ostentation.,她的生活方式毫不张扬。
compulsory,kəm'pʌls(ə)rɪ,adj. 义务的；强制的,adj. something that is compulsory must be done because it is the law or because someone in authority orders you to,kəm'pʌlsəri,"【记忆】com(共同) + puls(推) + ory → 共同推进的 → 义务的； 必修的 | 【短语】compulsory education (义务教育), compulsory course (必修课), compulsory insurance (强制保险)",the threat of compulsory redundancies,强制性裁员的威胁
hike,haɪk,v&n. 徒步旅行；增加；抬起,v&n. a long walk in the mountains or countryside,haɪk,"【记忆】穿着Nike鞋徒步旅行(hike) | 【短语】price hike (提价；物价上涨), take a hike (走路；滚开；哪凉快那歇着去), hike up (飘起)",a hike in the woods,林间远足
tackle,'tæk(ə)l,vt&vi. 处理，对付；抓住,vt&vi. to try to deal with a difficult problem,'tækl,"【记忆】tack(钉) + le → 除去眼中钉 → 对付， 处理 | 【短语】fishing tackle (n. 渔具；钓鱼用具), block and tackle (滑车组；滑轮组), tackle box (工具盒；钓具盒)",There is more than one way to tackle the problem.,解决这个问题不止一个办法。
legislation,ledʒɪs'leɪʃ(ə)n,n. 立法,n. a law or set of laws,",lɛdʒɪs'leʃən","【记忆】leg(法律) + islat ＋ ion → 法律， 法规； 立法 | 【短语】environmental legislation (环境立法), subsidiary legislation (附属法例), labour legislation (劳工法；劳动法规)",This is a very important piece of legislation (= law ).,这是一条非常重要的法规。
estate,ɪ'steɪt; e-,n. 房地产；财产,"n. law all of someone’s property and money, especially everything that is left after they die",ɪ'stet,"【短语】real estate (n. 不动产，房地产), real estate market (房地产市场；不动产市场), real estate development (房地产开发)","His estate was valued at $150,000.",他的遗产价值为15万美元。
interrogate,ɪn'terəgeɪt,v. 询问，审问,"v. to ask someone a lot of questions for a long time in order to get information, sometimes using threats",ɪn'tɛrəɡet,,The police interrogated the suspect for several hours.,警察盘问了这名嫌疑犯好几个小时。
plummet,'plʌmɪt,v. 骤然跌落,v. to suddenly and quickly decrease in value or amount,'plʌmɪt,,House prices have plummeted down.,房价已经暴跌。
roll,rəʊl,n&v. 滚动；卷；隆隆声,"n&v. if something rolls, especially something round, or if you roll it, it moves along a surface by turning over and over",rol,"【短语】roll out (铺开；滚出), work roll (工作辊), roll in (蜂拥而来；[口]有大量的（钱财等）；[美俚]就寝；到达)",His sleeves were rolled above his elbows.,他的袖子卷到了胳膊肘的上面。
assimilate,ə'sɪmɪleɪt,v. 同化；吸收,"v. to completely understand and begin to use new ideas, information etc",ə'sɪməlet,【记忆】as + simil(相同) + ate(使…) → 使相同 → 使同化,It will take time to assimilate all these facts.,充分掌握所有这些情况需要时间。
harsh,hɑːʃ,adj. 粗糙的；严厉的,adj. harsh conditions are difficult to live in and very uncomfortable,hɑrʃ,"【记忆】har(看作hard， 坚硬的) + sh → 态度强硬的 → 严厉的 | 【短语】harsh reality (严酷的现实；残酷的现实), harsh terms (苛刻的条件)",The hostages are being held in harsh conditions.,人质被拘押在恶劣环境中。
recall,rɪ'kɔːl,vt&n. 召回；回忆,"vt&n. to remember a particular fact, event, or situation from the past",'rikɔl,"【短语】beyond recall (不可挽回；不能记起), recall from (从…处召回), recall to mind (回想起，回忆起，记得)","You don’t happen to recall his name, do you?",你不会恰巧还想得起他的名字吧？
electronics,ɪlek'trɒnɪks; el-,n. 电子学(单数),"n. the study or industry of making equipment, such as computers and televisions, that work electronically","ɪ,lɛk'trɑnɪks","【记忆】来自electric(a. 电的) | 【短语】electronics industry (电子工业；电子业), consumer electronics (消费性电子产品；家用电子产品), power electronics (电力电子学；动力电子设备)",an electronics engineer,电子工程师
abbreviation,əbriːvɪ'eɪʃ(ə)n,n. 缩略语,n. a short form of a word or expression,əˌbrivɪ'eʃən,,The abbreviation for Kansas is KS.,的缩写是。
flee,fliː,v. 逃走,"v. to leave somewhere very quickly, in order to escape from danger",fli,【短语】flee from (vt. 从……逃出来),His attackers turned and fled.,袭击他的人转身逃走了。
numb,nʌm,adj. 麻木的，失去知觉的,"adj. a part of your body that is numb is unable to feel anything, for example because you are very cold",nʌm,,My fingers were so numb I could hardly write.,我的手指麻木得几乎没法写字。
crude,kruːd,adj. 天然的，粗鲁的，粗制的,"adj. not exact or without any detail, but generally correct and useful",krud,"【记忆】c ＋ rud(天然的) + e → 天然的 | 【短语】crude oil ([化]原油), crude protein (粗蛋白；天然蛋白质), crude drug (天然药)",a crude estimate of the population available for work,对劳动力人口的粗略估计
metropolitan,metrə'pɒlɪt(ə)n,adj. 大城市的，大都市的,adj. relating or belonging to a very large city,",mɛtrə'pɑlɪtən","【短语】metropolitan area (大城市区域，大都市区；大都会区), metropolitan museum (大都会博物馆), metropolitan police (都市警察)",a metropolitan area of South Australia,南澳大利亚的一个都市区
notable,'nəʊtəb(ə)l,n. 名人；显要人物；adj. 显著的；著名的,"adj. important, interesting, excellent, or unusual enough to be noticed or mentioned",'notəbl,【记忆】not(知道) + able(可…的) → 可知道的 → 值得注意的,"If there are any notable inconsistencies or discrepancies, think through how you are going to explain the situation.",如果有任何显著的不相符或让人起疑的情况，要想好该如何去解释这个情况。
treble,'treb(ə)l,adj. 三倍(重)的,,'trɛbl,,"But the KGB, in turn, was deceiving the Englishmen, because it really believed that they were playing a treble game and were all traitors to the Communist cause.",但是克格勃实际上以欺骗回报了英国人，因为他们认为，这几个人在玩三重游戏，实际上是共产主义事业的叛徒。
propagate,'prɒpəgeɪt,vt&vi. 繁殖；增殖；传播，宣传,"vt&vi. to spread an idea, belief etc to many people",'prɑpə'get,【记忆】pro(向前) + pag(扎牢， 系牢) + ate → 向前系牢 → 繁殖； 传播,The group launched a website to propagate its ideas .,这个团体建了一个网站来宣扬他们的主张。
converge,kən'vɜːdʒ,v. 会聚，集中,v. to come from different directions and meet at the same point to become one thing,kən'vɝdʒ,,The two rivers converge into one near Pittsburgh.,这两条河在匹兹堡附近汇合。
compel,kəm'pel,v. 强迫，迫使,v. to force someone to do something,kəm'pɛl,【记忆】com(共同) + pel(推) → 强迫,...the introduction of legislation to compel cyclists to wear a helmet.,…强制骑车人戴头盔的法律的引入。
pointed,'pɒɪntɪd,adj. 尖锐的；率直的,adj. having a point at the end,'pɔɪntɪd,"【短语】pointed end (压尖端，尖头), pointed arch (尖拱；尖券), pointed nose (尖头)",a pointed beard,一把山羊胡
swarm,swɔːm,n. (昆虫)等一大群；v. 成群飞舞；蜂拥而入,"n. a crowd of people who are moving quickly；v. if people swarm somewhere, they go there as a large uncontrolled crowd",swɔrm,"【短语】swarm of (大群), swarm into (涌入), swarm with (充满；挤满)",...a swarm of locusts.,…一大群蝗虫。
shrewd,ʃruːd,adj. 敏锐的，精明的，准确的,adj. good at judging what people or situations are really like,ʃrud,【记忆】“熟的” → 对某事很熟， 因此反应灵敏 → 机灵的,Malcolm is a shrewd businessman.,马尔科姆是个精明的商人。
abolish,ə'bɒlɪʃ,v. 废除,"v. to officially end a law, system etc, especially one that has existed for a long time",ə'bɑlɪʃ,,Slavery was abolished in the US in the 19th century.,美国于19世纪废除了奴隶制。
imitate,'ɪmɪteɪt,v. 模仿，模拟，看似,"v. to copy the way someone behaves, speaks, moves etc, especially in order to make people laugh",'ɪmɪtet,【记忆】imit(模仿) + ate(动词后缀) → 模仿,She was a splendid mimic and loved to imitate Winston Churchill.,她是个出色的模仿者，喜欢模仿温斯顿·丘吉尔。
waggon,'wæɡən,n. 货车,,'wægən,,The ragged man drags a waggon of rag fragments.,那个衣衫褴褛的人拉著一货车破布碎片.
definitive,dɪ'fɪnɪtɪv,adj. 决定的，明确的；最后的,"adj. a definitive agreement, statement etc is one that will not be changed",dɪ'fɪnətɪv,【短语】definitive edition (最终版；选定版；权威版),a definitive agreement to buy the company,收购这家公司的最终协议
imminent,'ɪmɪnənt,adj. 迫近的，紧迫的,"adj. an event that is imminent, especially an unpleasant one, will happen very soon",'ɪmɪnənt,"【短语】imminent danger (（法）迫在眉睫的危险), imminent threat (紧迫的威胁；逼近的威胁)",A new trade agreement is imminent.,一项新的贸易协定即将签署。
dispute,dɪ'spjuːt; 'dɪspjuːt,v&n. 争论，争执，质疑,v&n. a serious argument or disagreement,'dɪs'pjʊt,"【记忆】dis(分开) + put(思考) + e → 分开思考 → 争论， 争吵 | 【短语】dispute resolution ([法律]调解纠纷), in dispute (在争论中), labor dispute (劳动争议；劳资纠纷)",It is beyond dispute that advances in medicine have enabled people to live longer.,医学的发展使人们更加长寿，这是无可置疑的。
horticulture,"'hɔːtɪ,kʌltʃə",n. 园艺,"n. the practice or science of growing flowers, fruit, and vegetables",'hɔrtɪ'kʌltʃɚ,,The area has a long tradition of horticulture.,园艺是这个地区源远流长的传统。
semblance,'sembləns,n. 外貌，外表,"n. If there is a semblance of a particular condition or quality, it appears to exist, even though this may be a false impression",'sɛmbləns,,At least a semblance of normality has been restored to parts of the country.,这个国家的部分地区至少在表面上已恢复正常。
impair,ɪm'peə,v. 损害，削弱,v. to damage something or make it not as good as it should be,ɪm'pɛr,【记忆】im(不) + pair(相等) → 使…不一样 → 损害,The illness had impaired his ability to think and concentrate.,这种疾病损害了他的思维能力和注意力。
dismay,dɪs'meɪ,n&vt. 灰心丧气；惊愕,,dɪs'me,,,
dash,dæʃ,n&v. 撞击；冲，短跑；破折号；闯劲,"n&v. If you dash somewhere, you run or go there quickly and suddenly",dæʃ,"【记忆】d + ash(灰尘) → 群马飞奔而过， 扬起漫天灰尘 → 飞奔 | 【短语】dash forward (插上；向前冲), a dash of (少许；一点儿), dash in (急写)",Suddenly she dashed down to the cellar.,她猛地朝地窖冲过去。
outlying,'aʊtlaɪɪŋ,adj. 远离中心的，偏僻的,"adj. far from the centre of a city, town etc or from a main building",'aʊtlaɪɪŋ,,one of the outlying suburbs,边远郊区之一
catching,'kætʃɪŋ,adj. 传染性的,adj. an illness that is catching is easily passed to other people,'kætʃɪŋ,"【短语】catch oneself (发觉自己讲错而突然住嘴), catch up (赶上；把…缠住), catch up with (赶上，追上；逮捕；处罚)",Julia’s enthusiasm was catching.,朱莉娅的热情很有感染力。
deter,dɪ'tɜː,v. 阻止，使不敢，吓住,"v. to stop someone from doing something, by making them realize it will be difficult or have bad results",dɪ'tɝ,【记忆】de + ter(=terr吓唬) → 威慑， 吓住,The company’s financial difficulties have deterred potential investors.,该公司的财务困境令潜在的投资者望而却步。
influx,'ɪnflʌks,n. 汇集，流入,,'ɪnflʌks,【短语】water influx (水侵；水侵量),,
deplore,dɪ'plɔː,"""vt. 哀悼, 非难""",,dɪ'plɔr,,,
pathos,'peɪθɒs,n. 引起怜悯的因素,"n. the quality that a person, situation, film, or play has that makes you feel pity and sadness",'peθɑs,,the pathos of the woman trying to keep her lover,那个女人试图留住爱侣的哀婉之情
namely,'neɪmlɪ,adv. 即；也就是,adv. used when saying the names of the people or things you are referring to,'nemli,,"Three students were mentioned, namely John, Sarah and Sylvia.",有三名学生被提到，即约翰、萨拉和西尔维娅。
relinguish,,vt. 放弃；撤回,,,,,
sole,səʊl,n. 脚底；adj. 单独的；惟一的,"n. the bottom surface of your foot, especially the part you walk or stand on；adj. the sole person, thing etc is the only one",sol,"【记忆】sol(单独) + e → 唯一的 | 【短语】sole agent (n. 总代理商；独家经营商；包销人), sole agency (独家经理；唯一代理), sole purpose (唯一目的)",The soles of his feet were caked in mud.,他的脚掌上沾满了泥巴。
thaw,θɔː,vt&vi. (冰雪)融化；使变得友善；n. 解冻,"vt&vi. if ice or snow thaws, or if the sun thaws it, it turns into water；n. a period of warm weather during which snow and ice melt",θɔ,【短语】thaw out (融化，解冻),The lake thawed in March.,3月里，湖水解冻了。
fling,flɪŋ,v&n. 掷，抛；猛烈地移动；投入,v&n. to throw something somewhere using a lot of force,flɪŋ,"【短语】fling off (发出；甩掉；挫败), at one fling (一举，一鼓作气地，一气呵成地), fling up (vt. 向上猛抛)",He flung his coat over the back of a chair.,他把外套扔在椅背上。
sufficient,sə'fɪʃ(ə)nt,adj. 足够的，充分的,adj. as much as is needed for a particular purpose,səˈfɪʃənt,"【短语】sufficient condition (充分条件), sufficient for oneself (不靠他人，不受他人影响), necessary and sufficient condition (充要条件；必要且充分的条件)",We can only prosecute if there is sufficient evidence.,有了足够的证据，我们才能提出起诉。
morality,məˈræləti,n. 道德，美德；伦理体系,n. beliefs or ideas about what is right and wrong and about how people should behave,məˈræləti,"【记忆】moral(道德的) ＋ ity → 道德， 美德 | 【短语】social morality (社会道德), public morality (公共道德；社会道德), morality play (道德剧；寓意剧)",...standards of morality and justice in society.,…社会中道德和正义的标准。
