w,c,zh,en,us,core,ex,exz
picture,pt,图画,painting or photograph,/ˈpɪktʃɝ/,把景物或想法呈现在平面上的图像。,A beautiful picture.,一幅美丽的画。
pig,pt,猪,farm animal raised for meat,/pɪɡ/,短腿厚身常被饲养取肉的动物。,The pig is in the mud.,猪在泥里。
pin,pt,别针,thin sharp piece of metal,/pɪn/,细小尖物可刺入固定东西。,Pin it to the board.,把它别在板上。
pipe,pt,管子,tube for liquid or gas,/paɪp/,中空长管让水气烟通过。,The pipe is leaking.,管子漏了。
plane,pt,飞机,flying machine,/pleɪn/,带翼在空中载人载物飞行的机器。,The plane took off.,飞机起飞了。
plate,pt,盘子,flat dish for food,/pleɪt/,平而浅用来盛放食物的盘。,Clean the plate.,把盘子刷干净。
plough,pt,犁,farm tool to break soil,/plaʊ/,翻开土地准备播种的农具。,Drive the plough.,驾驶犁。
pocket,pt,口袋,small bag in clothes,/ˈpɑkət/,衣物上缝出的可放小物的袋。,In my pocket.,在我口袋里。
pot,pt,"罐,锅",deep round container,/pɑt/,深腹容器用来煮盛或栽种东西。,A pot of tea.,一壶茶。
potato,pt,土豆,round root vegetable,/pəˈteɪˌtoʊ/,长在土里的淀粉块茎食物。,Mash the potato.,把土豆压碎。
prison,pt,监狱,place for criminals,/ˈpɹɪzən/,把犯错者关住限制自由的地方。,He went to prison.,他进了监狱。
pump,pt,泵,machine moving liquid,/pʌmp/,借力量把液体或气体推送出去的装置。,Use the pump.,用泵。
rail,pt,铁轨,metal track for trains,/ɹeɪl/,细长坚硬的栏杆或车轮行走的轨。,The train left the rail.,火车出轨了。
rat,pt,老鼠,large mouse,/ɹæt/,尖嘴长尾善啃咬的大老鼠。,A rat ran by.,老鼠跑过。
receipt,pt,收据,paper proving payment,/ɹiˈsit/,证明钱物已交付的一张凭据。,Keep your receipt.,留好收据。
ring,pt,"戒指,环",round band of metal,/ɹɪŋ/,围成圆圈可套在手上或连接的物。,She wears a gold ring.,她戴着金戒指。
rod,pt,"杆,棒",long thin pole,/ɹɑd/,直而细长有硬度的棍状物。,A fishing rod.,一根鱼竿。
roof,pt,屋顶,top covering of building,/ɹuf/,盖在建筑最上方挡雨遮阳的面。,The roof is red.,屋顶是红色的。
root,pt,根,part of plant in soil,/ɹut/,植物伸入土中吸水并固定身体的部分。,The tree has deep roots.,树根扎得深。
sail,pt,帆,cloth on a boat,/seɪl/,借风张开推动船前进的大布。,Set the sail.,扬帆。
school,pt,学校,place for learning,/skul/,孩子聚集接受教导学习的地方。,Go to school.,去上学。
scissors,pt,剪刀,two-bladed cutting tool,/ˈsɪzɝz/,两片交叉刀刃合拢剪断东西的工具。,Use the scissors.,用剪刀。
screw,pt,螺丝,metal pin with twisting grooves,/skɹu/,带旋纹转进去固定物件的小钉。,Tighten the screw.,拧紧螺丝。
seed,pt,种子,small part of plant for growing,/sid/,藏着新植物开端的小颗粒。,Plant the seed.,播下种子。
sheep,pt,羊,woolly farm animal,/ʃip/,披着厚毛温顺吃草的家畜。,The sheep graze in the field.,羊在田里吃草。
shelf,pt,架子,flat board for storage,/ʃɛlf/,固定在墙上或柜中放物的横板。,Put it on the shelf.,放架子上。
ship,pt,"船,轮船",large boat,/ʃɪp/,在水面远行载人大量货物的大船。,The ship sailed away.,轮船开走了。
shirt,pt,衬衫,upper body garment,/ʃɝt/,穿在上身贴近身体的有袖衣物。,He wears a white shirt.,他穿着白衬衫。
shoe,pt,鞋,covering for foot,/ʃu/,包住脚底保护行走的穿物。,Tie your shoe.,系鞋带。
skin,pt,皮肤,outer covering of body,/skɪn/,覆盖全身分隔内外的柔韧表层。,Her skin is soft.,她皮肤很滑。
skirt,pt,裙子,woman's lower garment,/skɝt/,围在腰下垂落不分腿的衣物。,A long skirt.,一条长裙。
snake,pt,蛇,long animal without legs,/sneɪk/,无腿细长靠身体弯动前进的动物。,A snake in the grass.,草里有蛇。
sock,pt,袜子,soft covering for foot,/sɑk/,贴脚穿在鞋内吸汗保暖的织物。,Put on clean socks.,穿干净袜子。
spade,pt,铲,flat tool for digging,/speɪd/,用脚手发力挖土翻土的铲具。,Dig with a spade.,用铲挖。
sponge,pt,海绵,soft absorbent material,/spʌndʒ/,多孔柔软吸水后可擦洗的物。,Wipe with a sponge.,用海绵擦。
spoon,pt,勺,tool for eating liquid food,/spun/,带凹面用来舀取食物液体的器具。,Use a spoon for soup.,喝汤用勺。
spring,pt,弹簧;春天,coiled metal or season,/spɹɪŋ/,卷曲金属受压后能弹回的物。,The spring is broken.,弹簧坏了。
square,pt,正方形,shape with four equal sides,/skwɛɹ/,四边相等四角端正的平面形。,Draw a square.,画个正方形。
stamp,pt,邮票,paper stuck on mail,/stæmp/,小纸片或印记证明邮寄缴费身份。,Buy a stamp.,买张邮票。
star,pt,星星,bright light in night sky,/stɑɹ/,夜空中远远发光的小点天体。,Stars shine bright.,星光灿烂。
station,pt,车站,place for trains or buses,/ˈsteɪʃən/,车船停靠人们上下换乘的地点。,Meet at the station.,在车站见。
stem,pt,茎,main stalk of plant,/stɛm/,植物向上支撑叶花的细长主体。,The flower stem is long.,花茎很长。
stick,pt,棍子,long thin piece of wood,/stɪk/,可握可撑可打的细长木条。,Pick up the stick.,捡起棍子。
stocking,pt,长袜,long sock,/ˈstɑkɪŋ/,从脚包到腿上的长筒织物。,Christmas stocking.,圣诞袜。
stomach,pt,"胃,肚子",organ for digestion,/ˈstʌmək/,腹中接收并消化食物的袋状器官。,My stomach hurts.,我肚子疼。
store,pt,商店,place to buy things,/stɔɹ/,集中摆放货物让人购买的地方。,Go to the store.,去商店。
street,pt,街道,road in town,/stɹit/,房屋之间供人车通行的道路。,Walk down the street.,沿街走。
sun,pt,太阳,star giving us light,/sʌn/,白天照亮并温暖万物的天体。,The sun is bright.,太阳很刺眼。
table,pt,桌子,furniture with flat top,/ˈteɪbəl/,有平面和支脚供放物做事的家具。,Set the table.,摆桌子。
tail,pt,尾巴,rear part of animal,/teɪl/,动物身体后端伸出的活动部分。,The dog wagged its tail.,狗摇尾巴。
thread,pt,线,thin string for sewing,/θɹɛd/,细长纤维线可缝合连接物件。,Pull the thread.,拉一下线。
throat,pt,喉咙,passage in neck,/θɹoʊt/,口腔通向身体深处发声吞咽的通道。,My throat is sore.,我嗓子疼。
thumb,pt,拇指,thick finger,/θʌm/,手上能与四指相对帮助抓握的粗指。,Thumbs up!,赞一个!
ticket,pt,票,paper for entry or travel,/ˈtɪkət/,允许进入乘坐或领取的一张凭证。,Show your ticket.,出示票。
toe,pt,脚趾,one of five on foot,/toʊ/,脚前端帮助平衡行走的小指。,Stub your toe.,碰到脚趾。
tongue,pt,舌头,organ in mouth,/tʌŋ/,口中柔软会尝味并帮助说话的肉。,Stick out your tongue.,伸出舌头。
tooth,pt,牙齿,hard part in mouth,/tuθ/,口中坚硬咬断磨碎食物的小骨。,Brush your teeth.,刷牙。
town,pt,城镇,medium settlement,/taʊn/,房屋道路和人群聚成的生活区域。,A small town.,一个小镇。
train,pt,火车,long vehicle on rails,/tɹeɪn/,多节车厢沿轨道成列前进的车。,Catch the train.,赶火车。
tray,pt,托盘,flat dish for carrying,/tɹeɪ/,平浅带边用来端送物品的盘。,Bring the tray.,把托盘端来。
tree,pt,树,tall plant with trunk,/tɹi/,有根干枝叶向上生长的高大植物。,Climb the tree.,爬树。
trousers,pt,裤子,garment for lower body,/ˈtɹaʊzɝz/,从腰分成两管包住双腿的衣物。,Wear black trousers.,穿黑裤子。
umbrella,pt,伞,cover against rain,/ʌmˈbɹɛlə/,撑开在头上挡雨遮阳的伞状物。,Open the umbrella.,打开伞。
wall,pt,墙,vertical side of room,/wɔl/,竖起分隔空间并支撑屋子的面。,Hang it on the wall.,挂在墙上。
watch,pt,手表,small clock for wrist,/wɑtʃ/,戴在身上随时查看时间的小表。,My watch is fast.,我表快了。
wheel,pt,轮子,round thing that turns,/wil/,围绕中心转动带动车辆前行的圆件。,The wheel turns.,轮子在转。
whip,pt,鞭子,long strap for hitting,/wɪp/,柔韧长条挥动后抽打驱使的物。,Crack the whip.,挥鞭子。
whistle,pt,哨子,thing that makes high sound,/ˈwɪsəl/,吹气后发出尖亮信号声的小器具。,Blow the whistle.,吹哨子。
window,pt,窗户,glass opening in wall,/ˈwɪndoʊ/,墙上透光通风也可观看外面的开口。,Open the window.,开窗。
wing,pt,翅膀,part for flying,/wɪŋ/,鸟或机器两侧帮助飞起的展开部分。,The bird spread its wings.,鸟展开翅膀。
wire,pt,金属丝,thin metal thread,/ˈwaɪɝ/,细长金属线可传力传电或捆扎。,Twist the wire.,拧一下金属丝。
worm,pt,虫子,long thin animal in soil,/wɝm/,柔软细长在土中蠕动的小生物。,A worm in the apple.,苹果里有虫。
able,qg,能够的,having the power to do,/ˈeɪbəl/,里面有足够力量，事情伸手就能做到。,She is able to swim.,她会游泳。
acid,qg,酸的,having sour taste,/ˈæsəd/,舌头被尖酸刺到，味道带着咬人的劲。,Lemons taste acid.,柠檬尝起来酸。
angry,qg,愤怒的,feeling strong displeasure,/ˈæŋɡɹi/,心里火气上冲，想推开眼前的不顺。,Don't be angry with me.,别生我气。
automatic,qg,自动的,working by itself,/ˌɔtəˈmætɪk/,不用人再推动，机关自己按路子运转。,An automatic door.,自动门。
beautiful,qg,美丽的,pleasing to look at,/ˈbjutəfəl/,一眼看去让心停住，形色带来愉悦。,What a beautiful day!,多美的一天!
black,qg,黑色的,darkest color,/blæk/,光被吞进去，只剩最深最重的暗色。,A black cat.,一只黑猫。
boiling,qg,沸腾的,"very hot, bubbling",/ˈbɔɪlɪŋ/,热力把液体顶起，泡泡翻滚不安。,Boiling water hurts.,沸水会烫伤人。
bright,qg,明亮的,giving much light,/bɹaɪt/,光从里面射出来，眼前一下变清亮。,A bright lamp.,一盏明亮的灯。
broken,qg,破碎的,in pieces or not working,/ˈbɹoʊkən/,原本连成一体的东西裂开，不能照常用。,The glass is broken.,玻璃碎了。
brown,qg,棕色的,color of wood or earth,/bɹaʊn/,像泥土木头烤面包，带着温厚暗色。,Brown bread is healthier.,棕色面包更健康。
cheap,qg,便宜的,costing little,/tʃip/,拿出很少代价，就能把东西带走。,This is a cheap shop.,这是家便宜店。
chemical,qg,化学的,related to chemistry,/ˈkɛməkəl/,物质在看不见的层面彼此反应变化。,A chemical reaction.,化学反应。
chief,qg,主要的,most important,/tʃif/,众多事物中站在最前，决定主要方向。,The chief reason.,主要原因。
clean,qg,干净的,free from dirt,/klin/,污点被去掉，表面恢复清爽无杂。,Wash your hands clean.,把手洗干净。
clear,qg,清楚的,easy to see or understand,/klɪɹ/,中间没有遮挡，眼睛和脑子都能穿过去。,The water is clear.,水很清。
common,qg,普通的,usual or shared,/ˈkɑmən/,到处都能碰见，大家共享而不稀奇。,A common sight.,常见的景象。
complex,qg,复杂的,having many parts,/ˈkɑmplɛks/,许多部分缠在一起，不能一眼拆明白。,A complex problem.,复杂的问题。
conscious,qg,有意识的,awake and aware,/ˈkɑnʃəs/,心灯亮着，知道自己和周围正在发生什么。,He is conscious of his faults.,他意识到自己的缺点。
cut,qg,切的,divided with a sharp tool,/kʌt/,被利器分开，原来的连续性留下断口。,Cut flowers wilt fast.,剪下的花谢得快。
deep,qg,深的,going far down,/dip/,从表面往下延伸很远，底部不易触到。,A deep well.,一口深井。
dependent,qg,依赖的,relying on another,/dɪˈpɛndənt/,自身站不稳，要靠另一方支撑才成立。,Children are dependent on parents.,孩子依赖父母。
early,qg,早的,before usual time,/ˈɝli/,比大家预期先到，时间还在前头。,An early start.,早早出发。
elastic,qg,有弹性的,able to stretch and return,/ɪˈlæstɪk/,被拉长后还能缩回，像有回弹记忆。,An elastic band.,橡皮筋。
electric,qg,电的,running on electricity,/ɪˈlɛktɹɪk/,带着电的驱动力，能点亮或推动机器。,An electric car.,一辆电动车。
equal,qg,相等的,the same in amount,/ˈikwəl/,两边放在天平上，分量正好相配。,All people are equal.,人人平等。
fat,qg,胖的,having much body flesh,/fæt/,身体或物体积了厚厚一层多余肉感。,A fat cat sat on the mat.,一只胖猫坐在垫子上。
fertile,qg,肥沃的,able to produce much,/ˈfɝtəl/,里面有生长的养分，撒下种子容易结果。,The land is fertile.,土地肥沃。
first,qg,第一的,before all others,/fɝst/,排在所有之前，最先踏出那一步。,The first time I met you.,我们第一次见面。
fixed,qg,固定的,not moving or changing,/fɪkst/,位置或数值被钉住，不再随便移动变化。,A fixed price.,固定价格。
flat,qg,平的,smooth and level,/flæt/,表面铺展开来，没有明显高低起伏。,A flat surface.,平面。
free,qg,自由的;免费的,not controlled or no cost,/fɹi/,束缚被松开，也可能不需要付出代价。,Free of charge.,免费。
frequent,qg,频繁的,happening often,/ˈfɹiːkwənt/,同一件事不断回来，间隔很短地出现。,He pays frequent visits.,他经常来访。
full,qg,满的,holding as much as possible,/fʊl/,容器被装到边缘，几乎再放不进去。,The cup is full.,杯子满了。
general,qg,一般的,not specific or for all,/ˈdʒɛnɝəl/,从大面上看整体，不落到某个细点。,A general idea.,大致的想法。
good,qg,好的,of high quality,/ɡʊd/,状态合人期待，带来可接受的正面价值。,A good book.,一本好书。
great,qg,伟大的,of large size or quality,/ɡɹeɪt/,尺寸或分量超出平常，让人不得不看重。,A great man.,一位伟人。
grey,qg,灰色的,color between black and white,/ɡɹeɪ/,黑白之间的雾色，光暗被调和在一起。,Grey clouds bring rain.,灰云带来雨。
hanging,qg,悬挂的,suspended from above,/ˈhæŋɡɪŋ/,上端被系住，身体悬在空中向下垂。,Hanging flowers.,挂着的花。
happy,qg,快乐的,feeling joy,/ˈhæpi/,心里轻快发亮，像事情正合自己的愿望。,A happy child.,一个快乐的孩子。
hard,qg,硬的;困难的,firm or difficult,/hɑɹd/,表面抗住压力，也像任务难以推进。,A hard rock.,硬石头。
healthy,qg,健康的,not sick,/ˈhɛlθi/,生命运转顺畅，身体没有被病弱拖住。,Eat healthy food.,吃健康食物。
high,qg,高的,reaching far up,/haɪ/,位置远离地面，向上伸到更高处。,A high tower.,一座高塔。
hollow,qg,空心的,empty inside,/ˈhɑloʊ/,外壳还在，里面却空出一块空间。,A hollow tree.,空心树。
important,qg,重要的,of great value,/ˌɪmˈpɔɹtənt/,放在秤上分量很重，会影响后面的事情。,An important meeting.,重要会议。
kind,qg,友善的;种类,caring or a type,/kaɪnd/,对别人带着温柔照看，不用力量伤人。,She is very kind.,她非常善良。
like,qg,相似的,similar to,/laɪk/,两样东西彼此照应，看上去有相同影子。,He's like his father.,他像他父亲。
living,qg,活的,alive,/ˈlɪvɪŋ/,里面有生命气息，会呼吸生长并回应世界。,All living things need air.,所有生物都需要空气。
long,qg,长的,measuring much,/lɔŋ/,从一头到另一头拉得很远，过程被延长。,A long road.,一条长路。
male,qg,男性的,of the man sex,/meɪl/,带着雄性身份，与生育角色中的男方相连。,A male doctor.,男医生。
married,qg,已婚的,having a husband or wife,/ˈmɛɹid/,两个人被婚姻系在一起，生活归入同一结。,They are happily married.,他们婚姻幸福。
material,qg,物质的,made of matter,/məˈtɪɹiəl/,能摸到占地方，属于现实物质而非想法。,Material things matter less.,物质的东西不那么重要。
medical,qg,医学的,related to medicine,/ˈmɛdəkəl/,围绕身体病痛与治疗，带着诊治气味。,Medical care is costly.,医疗费用高。
military,qg,军事的,related to armed forces,/ˈmɪləˌtɛɹi/,属于军队和武力秩序，带着作战纪律。,Military service is hard.,军队服役很艰苦。
natural,qg,自然的,"from nature, not man-made",/ˈnætʃɝəl/,从天地本身长出来，没有人工硬造痕迹。,Natural beauty.,自然之美。
necessary,qg,必要的,needed,/ˈnɛsəˌsɛɹi/,少了它事情就不能成，是必须放进去的一环。,Sleep is necessary.,睡眠是必需的。
new,qg,新的,recently made,/nju/,刚进入世界，还没有被旧痕迹磨过。,A new car.,一辆新车。
normal,qg,正常的,usual and ordinary,/ˈnɔɹməl/,落在平常轨道上，没有偏出大家预期。,Normal body temperature.,正常体温。
open,qg,开着的,not closed,/ˈoʊpən/,门口没有关住，空间向外让人进入。,The door is open.,门开着。
parallel,qg,平行的,always the same distance apart,/ˈpɛɹəˌlɛl/,两条线并肩前行，始终保持同样距离。,Parallel lines never meet.,平行线永不相交。
past,qg,过去的,belonging to time before,/pæst/,已经走到身后，属于时间里翻过的一页。,In past years.,过去几年里。
physical,qg,身体的,related to body or matter,/ˈfɪzɪkəl/,落在身体或物体上，能被现实力量碰到。,Physical exercise is good.,运动有好处。
political,qg,政治的,related to government,/pəˈlɪtəkəl/,围绕权力和治理，牵动公共选择。,Political views differ.,政治观点各异。
poor,qg,贫穷的,having little money,/pʊɹ/,手里资源很少，生活被缺乏紧紧限制。,A poor family.,贫穷的家庭。
possible,qg,可能的,able to happen,/ˈpɑsəbəl/,门还没有关上，事情仍有发生的路。,Anything is possible.,一切皆有可能。
present,qg,现在的;在场的,current or here,/ˈpɹɛzənt/,此刻就在这里，不在过去也不在远处。,All are present today.,今天全都到了。
private,qg,私人的,not public,/ˈpɹaɪvət/,被围起来只属个人，不向公众敞开。,A private room.,私人房间。
probable,qg,很可能的,likely to happen,/ˈpɹɑbəbəl/,事情正朝某个结果倾斜，很可能会落在那里。,A probable cause.,很可能的原因。
quick,qg,快的,moving fast,/kwɪk/,动作一下完成，时间被压得很短。,A quick answer.,快速回答。
quiet,qg,安静的,making little noise,/ˈkwaɪət/,声音被放低，周围进入平稳安静。,A quiet room.,安静的房间。
ready,qg,准备好的,prepared,/ˈɹɛdi/,所需已经摆好，只等下一步开始。,Are you ready?,你准备好了吗?
red,qg,红色的,color of blood,/ɹɛd/,像血和火一样醒目，带着强烈热色。,A red apple.,红苹果。
regular,qg,规律的,happening at fixed times,/ˈɹeɪɡjəlɝ/,按固定节拍反复出现，不乱也不断。,Regular exercise helps.,规律锻炼有助健康。
responsible,qg,负责的,having a duty,/ɹiˈspɑnsəbəl/,任务落在肩上，结果需要由自己承担。,You are responsible.,你要负责。
right,qg,对的;右的,correct or opposite of left,/ɹaɪt/,方向或判断正好对上，没有偏离应有位置。,You are right.,你对了。
round,qg,圆的,shaped like a ball,/ɹaʊnd/,边缘一路弯回自身，没有尖角伸出。,A round table.,一张圆桌。
same,qg,相同的,not different,/seɪm/,两边对照不出差别，像同一个模子出来。,We have the same idea.,我们想法一样。
second,qg,第二的,after the first,/ˈsɛkənd/,紧跟第一之后，排在下一个位置。,On the second day.,第二天。
separate,qg,分开的,not joined,/ˈsɛpɹət/,彼此不再相连，各自站在自己的边界里。,Keep them separate.,把它们分开。
serious,qg,严肃的,important or not playful,/ˈsɪɹiəs/,分量压下来，不能当作玩笑轻轻带过。,A serious problem.,严重的问题。
sharp,qg,锋利的,with a fine edge,/ʃɑɹp/,边缘或感觉很尖，能一下刺入或切开。,A sharp knife.,锋利的刀。
smooth,qg,光滑的,having even surface,/smuð/,表面顺滑无阻，手和动作都能轻轻滑过。,Smooth as silk.,丝一般光滑。
sticky,qg,粘的,likely to stick,/ˈstɪki/,一碰就黏住，想分开时会被拉扯。,Sticky fingers.,粘乎乎的手指。
stiff,qg,僵硬的,hard to bend,/stɪf/,身体或材料绷直，不愿弯也不容易动。,A stiff neck.,脖子僵硬。
straight,qg,直的,without curves,/stɹeɪt/,沿一条正线前进，没有弯曲和绕路。,Walk in a straight line.,走直线。
strong,qg,强壮的,having great power,/stɹɔŋ/,里面力量结实，能承受压力并推动事物。,A strong man.,一个强壮的人。
sudden,qg,突然的,happening quickly,/ˈsʌdən/,没有预告地一下出现，把时间猛地打断。,A sudden change.,突然的变化。
sweet,qg,甜的,having sugar taste,/swit/,味道柔和像糖，也让心里感到舒服。,This cake is sweet.,这蛋糕很甜。
tall,qg,高的,of more than average height,/tɔl/,身体从地面向上长得高，超过周围。,A tall man.,一个高个子男人。
thick,qg,厚的,having great width,/θɪk/,两面之间距离大，层层堆得很实。,A thick book.,一本厚书。
tight,qg,紧的,firmly held,/taɪt/,空间被压紧，几乎没有松动余地。,A tight grip.,紧紧抓住。
tired,qg,疲倦的,in need of rest,/ˈtaɪɝd/,力量被用掉，身体只想停下休息。,I'm tired today.,我今天很累。
true,qg,真的,in agreement with fact,/tɹu/,与事实正好相合，不是伪装出来的样子。,It's a true story.,这是个真实的故事。
violent,qg,暴力的,using great force,/ˈvaɪələnt/,力量猛地爆开，带着伤害和失控冲击。,A violent storm.,狂风暴雨。
waiting,qg,等候的,staying in expectation,/ˈweɪtɪŋ/,动作先停住，把时间留给将要发生的事。,The waiting room.,候诊室。
warm,qg,温暖的,slightly hot,/wɔɹm/,热度轻轻贴近，不烫却让人感到舒展。,Warm weather.,暖和的天气。
wet,qg,湿的,covered with water,/wɛt/,表面带着水分，摸上去有潮润感觉。,My clothes are wet.,我衣服湿了。
wide,qg,宽的,large from side to side,/waɪd/,左右打开很大，给出更多横向空间。,A wide river.,宽阔的河流。
wise,qg,明智的,having good judgment,/waɪz/,看得深又判断稳，知道怎样做才合适。,A wise old man.,睿智的老人。
yellow,qg,黄色的,color of sun and gold,/ˈjɛloʊ/,像阳光和熟麦的颜色，明亮而偏暖。,A yellow flower.,一朵黄花。
young,qg,年轻的,not old,/jʌŋ/,生命还在早段，带着新鲜和未完成。,A young boy.,一个小男孩。
awake,qo,醒着的,not sleeping,/əˈweɪk/,睡意退去，意识打开并能回应周围。,I'm wide awake.,我完全醒着。
bad,qo,坏的,not good,/bæd/,状态偏向损害，让人感到不对或不该要。,Bad weather.,坏天气。
bent,qo,弯曲的,not straight,/bɛnt/,原本该直的东西弯过去，方向被折转。,A bent nail.,弯了的钉子。
bitter,qo,苦的,having sharp unpleasant taste,/ˈbɪtɝ/,味道像药一样苦，心里也带着涩意。,Bitter coffee.,苦咖啡。
blue,qo,蓝色的,color of the sky,/blu/,像晴空和深水的颜色，清冷向远处展开。,A blue dress.,一条蓝裙子。
certain,qo,确定的,sure,/ˈsɝtən/,心里没有摇摆，事情被认定为稳实。,I am certain.,我很确定。
cold,qo,冷的,low temperature,/koʊld/,热量被抽走，身体和空气都收紧。,Cold water.,冷水。
complete,qo,完整的,having all parts,/kəmˈplit/,缺口被补齐，所有部分都已经到位。,A complete set.,一整套。
cruel,qo,残忍的,causing pain on purpose,/ˈkɹuəl/,对痛苦没有怜悯，力量冷硬地压过去。,A cruel act.,残忍的行为。
dark,qo,黑暗的,with little light,/dɑɹk/,光线退场，形状被阴影吞没难以看清。,A dark night.,漆黑的夜。
dead,qo,死的,no longer alive,/dɛd/,生命停止运转，不再生长呼吸回应。,The flowers are dead.,花死了。
dear,qo,亲爱的;昂贵的,loved or costly,/dɪɹ/,在心里分量很重，值得珍惜也代价不低。,My dear friend.,我亲爱的朋友。
delicate,qo,精致的,easily damaged,/ˈdɛləkət/,细薄精巧，经不起粗手粗脚的碰撞。,Delicate glass.,易碎的玻璃。
different,qo,不同的,not the same,/ˈdɪfɝənt/,放在一起比较，样子或性质明显不一样。,A different idea.,不同的想法。
dirty,qo,脏的,not clean,/ˈdɝti/,表面沾上污物，清爽感被杂质破坏。,Dirty hands.,脏手。
dry,qo,干的,not wet,/dɹaɪ/,水分被拿走，表面没有湿润留下。,Dry clothes.,干衣服。
false,qo,虚假的,not true,/fɔls/,外表像真的，里面却和事实不相合。,A false statement.,虚假声明。
feeble,qo,虚弱的,weak,/ˈfibəl/,力量很薄弱，稍有压力就难以支撑。,A feeble old man.,虚弱的老人。
female,qo,女性的,of the woman sex,/ˈfimeɪl/,带着雌性身份，与生育角色中的女方相连。,A female doctor.,女医生。
foolish,qo,愚蠢的,showing poor judgment,/ˈfulɪʃ/,判断像没看清路，做出不合道理的事。,A foolish mistake.,愚蠢的错误。
future,qo,未来的,of time to come,/ˈfjutʃɝ/,还在前方未到来，等待时间把它带近。,Future plans.,未来的计划。
green,qo,绿色的,color of grass,/ɡɹin/,像新叶青草的颜色，带着生长气息。,Green leaves.,绿叶。
ill,qo,生病的,not well,/ɪl/,身体或状态出了毛病，被不适拖住。,He is ill in bed.,他病了卧床。
last,qo,最后的,after all others,/læs/,排在最后，前面的都过去后才轮到它。,The last day.,最后一天。
late,qo,迟的,after expected time,/leɪt/,超过应到的时刻，时间已经落在后面。,Sorry I'm late.,抱歉我迟到了。
left,qo,左的,opposite of right,/lɛft/,站在右边对面的一侧，也可表示剩下未走。,Turn left.,左转。
loose,qo,松的,not tight,/lus/,束缚没有拉紧，留出晃动和脱开的空间。,Loose clothes.,宽松的衣服。
loud,qo,大声的,making much sound,/laʊd/,声音力量很大，冲进耳朵占满周围。,Loud music.,大声的音乐。
low,qo,低的,close to the ground,/loʊ/,位置靠近底部，离高处还有很远。,A low ceiling.,矮天花板。
mixed,qo,混合的,made of different things,/mɪkst/,不同成分搅在一起，界线不再清楚。,Mixed feelings.,心情复杂。
narrow,qo,狭窄的,small from side to side,/ˈnæɹoʊ/,两边靠得很近，只剩细细通道。,A narrow road.,狭窄的路。
old,qo,老的,having lived long,/oʊld/,经历了很长时间，带着使用和岁月痕迹。,My old grandfather.,我的老爷爷。
opposite,qo,相反的,completely different,/ˈɑpəzət/,站在正相反一边，方向彼此对着。,The opposite direction.,相反方向。
public,qo,公共的,open to all,/ˈpʌblɪk/,门向众人打开，不只属于某个私人角落。,A public park.,公园。
rough,qo,粗糙的,not smooth,/ɹʌf/,表面不平顺，摸上去有阻力和棱角。,Rough hands.,粗糙的手。
sad,qo,悲伤的,feeling unhappy,/sæd/,心往下沉，像失去光亮和期待。,A sad story.,悲伤的故事。
safe,qo,安全的,free from harm,/seɪf/,危险被隔在外面，里面可以安心停留。,Stay safe.,注意安全。
secret,qo,秘密的,hidden from others,/ˈsikɹət/,信息被藏起来，只让少数人知道。,A secret garden.,秘密花园。
short,qo,短的,of small length,/ʃɔɹt/,从头到尾距离小，时间或长度很快结束。,A short walk.,短暂的散步。
shut,qo,关着的,closed,/ʃʌt/,入口被合上，内外被一道界线分开。,The door is shut.,门关着。
simple,qo,简单的,not complex,/ˈsɪmpəl/,部分很少，路线直接，容易一眼明白。,A simple answer.,简单的答案。
slow,qo,慢的,not fast,/sloʊ/,动作把时间拉长，一步一步才往前。,A slow turtle.,慢吞吞的乌龟。
small,qo,小的,not large,/smɔl/,占的空间很少，分量和范围都缩着。,A small house.,小房子。
soft,qo,柔软的,easy to press,/sɑft/,受力会让步，触感温和不顶人。,A soft pillow.,软枕头。
solid,qo,固体的,not liquid or gas,/ˈsɑləd/,内部充实成块，不是空的也不易散。,Solid rock.,坚硬的岩石。
special,qo,特别的,different from usual,/ˈspɛʃəl/,从普通之中被挑出，带着独有标记。,A special day.,特别的日子。
strange,qo,奇怪的,unusual or unknown,/stɹeɪndʒ/,不合熟悉经验，让人停下来多看一眼。,A strange noise.,奇怪的声音。
thin,qo,瘦的;薄的,not thick,/θɪn/,两面距离很小，像一层轻薄的片。,A thin slice.,薄薄一片。
white,qo,白色的,color of snow,/waɪt/,光被铺开成最亮净色，没有其他颜色压住。,White clouds.,白云。
wrong,qo,错的,not correct,/ɹɔŋ/,走偏了应有方向，和正确位置不相合。,A wrong answer.,错误答案。
